OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
40,Heyne A bis,L 3928103,javensis,Borneo,1,100,5,2,2,1,2,1,35,0,6,18,3,19,3,19.5,3,10,1.5,,,,,,,,,,,,,,,,,1
41,Korthals no 9,L 0617871,javensis,Borneo,1,100,7,4,1,3,1,1,34,2,5,14,3.5,15,4,12.5,3.5,6.5,3,,,,,,,,,,,,,,,,,1
42,De Vogel 8695,L 0617895,4: C. impar,,6,600,5,3,1,4,2,2,30,4,2,23,2,,,12,1,,,2,2,2,0,,2,6.0,3,1,,,,,,,,1
43,MCS 140,L 0617889,javensis,"East Kalimantan, Berau",1,50,6,4,1,2,1,1,27,2,6,18.5,3.5,18.5,3,16,3.5,9.5,2,,,,,,,,,,,,,,,,,1
44,JD & JPM 4075,L 3928345,javensis,"Tapan km 19, Sungaei Penuh, Jambi, Sumatera; 1000 m alt",1,1000,6,3,1,0,0,0,40,2,5,18.5,3.5,18,3,16,3.5,9.5,2,2,1,0,,2,4,,,,3,1,,,,,,1
45,Hary Wiriadinata HW 3299,L 0617896,javensis,"Tumbang Tapi, Bukit Raya, Sumatera; 100 m alt",1,100,6,4,1,2,1,1,41,1,5,15.5,2.5,14,2.5,16.5,2,10,2,2,2,2,,,,,,,,,,,,,,1
46,"JP Mogea, Kunio Iwatsuki, Gen Murata, Masahiro Kato B 1590",,javensis,"North west Tabang, Mt. Batukenye, East Kalimantan; 150 m",1,150,5,3,1,1,0,1,25,0,5,15.5,2.5,14,2.5,11.5,2.5,8,2,,,,,,,,,,,,,,,,,1
47,JD 4650,L 0617884,javensis,"Sarawak, Sabal Tapang FR",1,64,8,5,1,1,0,1,47,0,6,17.5,2.5,20.5,3.5,15,2.5,8,2,,,,,,,,,,,,,,,,,1
48,JP Mogea JPM 1591,L 0617883,javensis,"East Kalimantan, Gunong Batukenye",1,800,8,4,1,1,1,1,24,0,4,16,4,14,3,15,3,4,8,0,1,2,0,,2,2.0,1,1,,,,,,,,1
49,JP Mogea JPM 1620,L 0617863,javensis,"Kalimantan, Gunong Mendam",1,385,5,3,1,2,1,1,31,0,5,17,3.5,16.5,4,15,3,5,0.5,0,0,2,1,,3,3.0,1,0,,,,,,,,1
50,Amin&Sigin SAN 69127,,javensis,"Sepulut FR, Keningau, Sandakan",1,10,8,5,1,1,2,2,44,6,,14,3.5,13.5,3,16,3.5,16,2.5,0,1,,1,7.5,5,,6,1,0,,,,,,,1
51,Bartlett 8095,L 3928273,javensis,"Asahan, Silo Maradja, East coast Sumatera",1,45,6,3,1,2,1,0,43,0,6,17,3.5,18.5,2.5,17,2,7,2,,,,,,,,,,,,,,,,,1
52,W. Meijer No 4038,L 3933514,javensis,"Ladang lawas, Mt. Sago, Payakumbuh, Central Sumatera; 1000 m a.s.l",1,1000,7,5,1,0,2,1,56,4,5,24.5,3.5,24,3,21,2.5,12,2,,,,,,,,,,,,,,,,,1
53,Timothy J Forsyth TJF 29,L 3928271,javensis,"Kerinci Sebelat, Bengkulu, Sumatera; 1200 m a.s.l",1,1200,6,4,1,1,1,1,38,0,6,19.5,3,16.5,3.5,14.5,2.5,9,2,2,1,,,,,6.0,,,1,0,,,,,,1
54,JD JPM 3967,L 3928274,javensis,"Gunung Putih, Muro Kulampi, West Sumatera; 600 m",1,600,5,3,2,3,0,1,30,0,5,16,2,13,1.5,11,1.5,5,1,,,,,,,,,,,,,,,,,1
55,Kathrin Shreckenberg KS 19,L 3928268,javensis,"Kerinci Sebelat, Bengkulu, Sumatera; 1000 m a.s.l",1,1000,6,4,1,1,1,1,38,0,6,15,3.5,17,3.5,13,2.5,4.5,1.5,,,,,,,,,,,,,,,,,1
56,N. Niyomdhan 1253,L 3933497,javensis,"Klong Seang, non hunting area, Pang Nga, Thailand;",1,192,3,2,1,4,0,1,28,5,3,17,2,,,10.5,2,4.5,2,,,,,,,,,,,,,,,,,1
57,W. Ave 136,L 3928259,4: C. impar,"Kp Sekam, Tapah, Perak, West Malaysia; 4°20'N, 101°20'E; alt 1020 m",6,1020,4,2,1,2,2,1,41.5,7,2,25.5,3.5,21.5,2.5,,,8.5,1.5,,,,,,,,,,,,,,,,,1
58,Kostermans s.n.,L 3928360,javensis,"Mt. payung, Ujung Kulon, South west Java; 100 m ; infruct",1,100,8,6,1,1,1,0.1,25,2,5,13,2,11,1.5,11,1.5,8,2,0,1,2,1,,,4.0,5,1,0,,0,,0,,,1
60,Amin et al. SAN 114102,L 0617891,4: C. impar,"Sabah, Sandakan, Ranau, Kepangian;  Inflor., infruct;",6,570,5,3,1,2,2,1,25.5,7,2,28.5,3.5,14.5,2.5,14,2,,,0,4,0,,,12,7.0,1,0,,,,,,,,1
61,Kessler et al. PK 2688,L 0372235,5: var congestiflorus,"Lampunut, Maruwai, Long Iram, East Kalimantan (00°03’N, 114°052’E); Kerangas forest; infructs",3,900,7,4,1,1,1,0,41,0,5,24,2,25,3.5,23,3.5,5,1,0,1,0,0,,3,6.0,1,0,,,1,0,,,,1
