OTU,Specimen_no,Barcode,Taxon,locality,kode_cluster,altitude ,w_ l.s,w_o l.s   ,spine_density,spine_shape,ocrea,knee,length ,petiole_length ,no_of_pairs,uppermost,uppermost,penultimate ,penultimate ,Median ,Median ,lowermost ,lowermost ,Prophyll_armature,Peduncle_bracts_shape,rachis_bracts_armature,no_of_cluster,cluster_length ,rachilla_no,rachilla length,bracts texture,bracts shape,bracts_texture,bracts _shape,scales_no,shape,L ,W ,shape,present_not
208,Atria MAT 090,,C. flabellatus,"Sg Liang, Brunei",7,12,5,3,1,3,1,1,48,2.5,3,23,5.5,,,14.5,3.5,7.5,1.5,,,,,,,,,,,,,,,,,1
209,Atria MAT 092,,C. javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",1,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
210,Atria MAT 093,,C. javensis javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",1,130,6,4,1,2,1,1,51,0,8,18,3,16,4,15,4.5,9,3,,,,,,,,,,,,,,,,,1
211,Atria MAT 094,,C. flabellatus,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 130 m a.s.l",7,130,6,4,1,3,2,1,60,2,3,39,5,,,22,4,15.5,2,,,,,,,,,,,,,,,,,1
212,Atria MAT 095,,C. javensis,"Ashton trail -- N 04 32.836', E 115 09.446'; alt. 200 m a.s.l",1,200,8,4,1,3,2,1,68,2.5,10,9,3.5,18,4,19,4,14,2,,,,,,,,,,,,,,,,,1
213,Atria MAT 096,,C. flabellatus,"Ashton trail -- N 04 32.695', E 115 09.370'; alt. 190 m a.s.l",7,190,10,5,0,0,1,1,56,0,5,32,6.5,18,4,11,2,9,2,1,1,2,3,13,8,2.5,1,1,,,6,1,,,,1
214,Atria MAT 097,,C. javensis,Sg. Belalong riverside --,1,127,8,5,1,3,1,1,60,0,8,16.5,3.5,17,4,20,4,8.5,2,,,,,,,,,,,,,,,,,1
215,Atria MAT 100B,,C. javensis,"Kuala Belalong, Ashton Trail",1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
216,Atria MAT 100C,,C. javensis,"Kuala Belalong, Ashton Trail",1,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
217,Atria MAT 102,,C. flabellatus,"Kuala Belalong -- Canopy Trail -- cordinates: N 04 33. 151' , E 115 09.430' ; alt. 71 m a.s.l",7,71,8,5,1,2,1,1,56,1,4,33.5,7.5,,,23,4.5,16,3,,,,,,,,,,,,,,,,,1
218,Atria MAT 103A,,var. Polyphyllus (2 sheet),"clustering rattan. Seedling plant erect with up to 12 pairs of leaflets, mature plants climbing with 6 pairs.",2,100,10,7,1,2,0,0,95,27,10,20,3,17,3.5,18,3.5,15.5,2.5,,,,,,,,,,,,,,,,,1
219,Atria MAT 106,,C. flabellatus,"Kuala Belalong -- Canopy trail -- N 04 33. 108' , E 115 09.609'; infructescence; sterile",7,71,8,4,1,2,1,1,41,1.5,2,27,6.5,,,,,,12.5,3,,,,,,,,,,,,,,,,1
220,Atria MAT 107A,,C. flabellatus,"Teraja -- N 04 24.035' , E 114 20.412' ,♀ plant, 7 partial inflorescence, each with 8 rachilla",7,50,10,5,1,2,1,2,23,2,4,13.5,4.5,,,9,3.5,7.5,7.5,2,1,2,5,40,16,3.0,1,1,,,,,,,,1
221,Atria MAT 108,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.",1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222,Atria MAT 108B,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.; infructescence",1,21,10,6,2,2,1,1,10,0,8,4,2,3.5,0.8,4.5,1.5,2,1.5,0,4,2,5,,,3.0,1,1,,,,,,,,1
223,Atria MAT 108C,,C. javensis,"Mendaram -- N 04 20.495' , E 114 26. 847'; alt. 21 m a.s.l.",1,21,8,5,1,3,2,2,58,0,9,18,4,16,4,17,4.5,8,1.5,1,4,2,7,14,7,6.5,1,1,,,10,0,8,6,1,1
224,Atria MAT 109,,C. amplijugus? (2 sheet),"Teraja -- N 04 17.254' , E 114 25.808' , male plant, 8 partial inflorescence, inflorescence ca 2,5 m long.",14,50,10,7,2,1,2,1,55,0,8,20,4.5,21,4.5,20,4.5,7.5,2.5,2,1,2,6,11,8,8.0,1,1,,,10,0,70,40,1,1
225,Atria MAT 109C,,C. amplijugus?,"Teraja -- N 04 17.254' , E 114 25.808' , male plant, 8 partial inflorescence, inflorescence ca 2,5 m long.",14,50,10,6,2,3,2,1,58,0,10,16,3.5,15.5,4.5,15,4.5,16.5,2.5,0,2,2,10,16,13,5.0,,,1,1,,,,,,1
226,Atria MAT 110,,C. javensis,"Mendaram -- N 04 19.113', E 114 25.808'; alt. 34 m a.s.l",1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
